1) What is the square root of 144?|a) 10|b) 11|c) 12|d) 13|2
2) What is the value of pi up to two decimal places?|a) 3.12|b) 3.14|c) 3.16|d) 3.20|1
3) What is 15 times 8?|a) 120|b) 125|c) 130|d) 135|0
4) What is the value of 2^3?|a) 4|b) 6|c) 8|d) 10|2
5) What is the sum of the angles of a triangle?|a) 180|b) 360|c) 270|d) 90|0
6) What is the value of x in the equation 2x+6=12?|a) 2|b) 3|c) 4|d) 5|1
7) What is the derivative of x^2 ?|a) 2x|b) x^2|c) x|d) 1|0
8) How many sides does a hexagon have?|a) 5|b) 6|c) 7|d) 8|1
9) What is 100 divided by 4?|a) 20|b) 25|c) 30|d) 35|1
10) What is the factorial of 4?|a) 12|b) 24|c) 36|d) 48|1
