1) What is the chemical symbol for water?|a) H2O|b) CO2|c) NaCl|d) O2|0
2) What planet is known as the Red Planet?|a) Earth|b) Mars|c) Venus|d) Jupiter|1
3) What gas do plants absorb during photosynthesis?|a) Oxygen|b) Nitrogen|c) Carbon Dioxide|d) Methane|2
4) Who developed the theory of relativity?|a) Isaac Newton|b) Albert Einstein|c) Galileo Galilei|d) Nikola Tesla|1
5) What is the main gas found in the Earth's atmosphere?|a) Oxygen|b) Carbon Dioxide|c) Nitrogen|d) Argon|2
6) What is the boiling point of water at sea level in Celsius?|a) 50|b) 75|c) 100|d) 150|2
7) What organ in the human body is responsible for pumping blood?|a) Liver|b) Brain|c) Heart|d) Kidney|2
8) What is the process of converting liquid into vapor called?|a) Freezing|b) Condensation|c) Evaporation|d) Sublimation|2
9) What part of the cell contains the genetic material?|a) Cytoplasm|b) Ribosome|c) Nucleus|d) Mitochondria|2
10) What is the hardest natural substance on Earth?|a) Gold|b) Diamond|c) Iron|d) Quartz|1
